PathwayID,PathwayName,Layer
R-HSA-69190,DNA strand elongation,2
R-HSA-69242,S Phase,2
R-HSA-69481,G2/M Checkpoints,2
R-HSA-69615,G1/S DNA Damage Checkpoints,2
R-HSA-69618,Mitotic Spindle Checkpoint,2
R-HSA-70326,Glucose metabolism,2
R-HSA-70370,Galactose catabolism,2
R-HSA-70635,Urea cycle,2
R-HSA-70688,Proline catabolism,2
R-HSA-70895,Branched-chain amino acid catabolism,2
R-HSA-70921,Histidine catabolism,2
R-HSA-71064,Lysine catabolism,2
R-HSA-71240,Tryptophan catabolism,2
R-HSA-71262,Carnitine synthesis,2
R-HSA-71288,Creatine metabolism,2
R-HSA-71336,Pentose phosphate pathway,2
R-HSA-71406,Pyruvate metabolism and Citric Acid (TCA) cycle,2
R-HSA-72172,mRNA Splicing,2
R-HSA-72187,mRNA 3'-end processing,2
R-HSA-72200,mRNA Editing: C to U Conversion,2
R-HSA-72202,Transport of Mature Transcript to Cytoplasm,2
R-HSA-72613,Eukaryotic Translation Initiation,2
R-HSA-72764,Eukaryotic Translation Termination,2
R-HSA-73779,RNA Polymerase II Transcription Pre-Initiation And Promoter Opening,2
